% layer_num layer_name enable height start_z1 end_z2 material boundary ILD
1 boundary true 0.100 -0.100 0.000 Silicon boundary SiO2
2 backup1 false 0.000 0.000 0.000 None boundary SiO2
3 backup2 false 0.000 0.000 0.000 None boundary SiO2
4 backup3 false 0.000 0.000 0.000 None boundary SiO2
5 backup4 false 0.000 0.000 0.000 None boundary SiO2
6 fin true 0.040 0.000 0.040 Silicon boundary SiO2
7 gate true 0.060 0.000 0.060 Metal boundary SiO2
8 gate_upper true 0.060 0.000 0.060 Metal boundary SiO2
9 gate_lower true 0.040 0.000 0.040 SiGe boundary SiO2
10 gate_merge true 0.030 0.040 0.070 Tungsten boundary SiO2
11 sd_upper true 0.030 -0.130 -0.100 Tungsten boundary SiO2
12 sd_lower true 0.020 0.070 0.090 Copper boundary SiO2
13 mrw true 0.020 0.070 0.090 Copper boundary SiO2
14 vdd_mrw true 0.020 0.070 0.090 Copper boundary SiO2
15 vss_mrw true 0.010 0.010 0.020 Silicon boundary SiO2
16 nsh true 0.030 0.090 0.120 Tungsten boundary SiO2
17 vmm true 0.030 0.120 0.150 Tungsten boundary SiO2
18 VMD true 0.030 0.150 0.180 Tungsten boundary SiO2
19 M0 true 0.030 0.180 0.210 Tungsten boundary SiO2
20 VM0 true 0.030 0.210 0.240 Tungsten boundary SiO2
21 M1 true 0.030 0.240 0.270 Tungsten boundary SiO2
22 VM1 true 0.030 0.270 0.300 Tungsten boundary SiO2
23 M2 true 0.030 0.300 0.330 Tungsten boundary SiO2
24 VM2 true 0.030 0.330 0.360 Tungsten boundary SiO2
25 M3 true 0.030 0.360 0.390 Tungsten boundary SiO2
26 VM3 true 0.030 0.390 0.420 Tungsten boundary SiO2
27 M4 true 0.030 0.420 0.450 Tungsten boundary SiO2
28 VM4 true 0.030 0.450 0.480 Tungsten boundary SiO2
29 M5 true 0.030 0.480 0.510 Tungsten boundary SiO2
30 VM5 true 0.030 0.510 0.540 Tungsten boundary SiO2
31 M6 true 0.030 0.540 0.570 Tungsten boundary SiO2
32 VM6 true 0.030 0.570 0.600 Tungsten boundary SiO2
33 M7 true 0.030 0.600 0.630 Tungsten boundary SiO2
34 VM7 true 0.030 0.630 0.660 Tungsten boundary SiO2
35 M8 true 0.030 0.660 0.690 Tungsten boundary SiO2
36 VM8 true 0.030 0.690 0.720 Tungsten boundary SiO2
37 M9 true 0.030 0.720 0.750 Tungsten boundary SiO2
38 VM9 true 0.030 0.750 0.780 Tungsten boundary SiO2
39 M10 true 0.030 0.780 0.810 Tungsten boundary SiO2
40 VM10 true 0.030 0.810 0.840 Tungsten boundary SiO2
41 M11 true 0.030 0.840 0.870 Tungsten boundary SiO2
42 VM11 true 0.030 0.870 0.900 Tungsten boundary SiO2
43 M12 true 0.030 0.900 0.930 Tungsten boundary SiO2
44 VM12 true 0.030 0.930 0.960 Tungsten boundary SiO2
45 M13 true 0.030 0.960 0.990 Tungsten boundary SiO2
46 VM13 true 0.030 0.990 1.020 Tungsten boundary SiO2
47 M14 true 0.030 1.020 1.050 Tungsten boundary SiO2
48 VM14 true 0.030 1.050 1.080 Tungsten boundary SiO2
