vg,id_va_best,id_csv_interp
0.00000000e+00,2.01900000e-10,2.49770030e-10
1.00000000e-02,2.85900000e-10,3.55870240e-10
2.00000000e-02,4.04800000e-10,5.06834030e-10
3.00000000e-02,5.73100000e-10,7.21506920e-10
4.00000000e-02,8.11500000e-10,1.02657590e-09
5.00000000e-02,1.14900000e-09,1.45977620e-09
6.00000000e-02,1.62600000e-09,2.07436840e-09
7.00000000e-02,2.30200000e-09,2.94536670e-09
8.00000000e-02,3.25700000e-09,4.17813240e-09
9.00000000e-02,4.60700000e-09,5.92014020e-09
1.00000000e-01,6.51300000e-09,8.37688120e-09
1.10000000e-01,9.20300000e-09,1.18330150e-08
1.20000000e-01,1.29900000e-08,1.66798790e-08
1.30000000e-01,1.83100000e-08,2.34501030e-08
1.40000000e-01,2.57700000e-08,3.28592130e-08
1.50000000e-01,3.61800000e-08,4.58518020e-08
1.60000000e-01,5.06300000e-08,6.36471790e-08
1.70000000e-01,7.05300000e-08,8.77748640e-08
1.80000000e-01,9.77000000e-08,1.20085860e-07
1.90000000e-01,1.34300000e-07,1.62713650e-07
2.00000000e-01,1.83000000e-07,2.17981230e-07
2.10000000e-01,2.46700000e-07,2.88233540e-07
2.20000000e-01,3.28200000e-07,3.75712240e-07
2.30000000e-01,4.30300000e-07,4.82227260e-07
2.40000000e-01,5.55400000e-07,6.08887140e-07
2.50000000e-01,7.05300000e-07,7.55880690e-07
2.60000000e-01,8.80800000e-07,9.20681520e-07
2.70000000e-01,1.08200000e-06,1.10057770e-06
2.80000000e-01,1.30800000e-06,1.29423720e-06
2.90000000e-01,1.55700000e-06,1.50276230e-06
3.00000000e-01,1.82800000e-06,1.72505340e-06
3.10000000e-01,2.11800000e-06,1.96082480e-06
3.20000000e-01,2.42400000e-06,2.20878210e-06
3.30000000e-01,2.74400000e-06,2.46812990e-06
3.40000000e-01,3.07600000e-06,2.73777020e-06
3.50000000e-01,3.41600000e-06,3.01665420e-06
3.60000000e-01,3.76200000e-06,3.30406880e-06
3.70000000e-01,4.11400000e-06,3.59923130e-06
3.80000000e-01,4.46700000e-06,3.90137990e-06
3.90000000e-01,4.82200000e-06,4.20994180e-06
4.00000000e-01,5.17700000e-06,4.52438520e-06
4.10000000e-01,5.53000000e-06,4.84415570e-06
4.20000000e-01,5.88000000e-06,5.16875330e-06
4.30000000e-01,6.22600000e-06,5.49784560e-06
4.40000000e-01,6.56800000e-06,5.83107170e-06
4.50000000e-01,6.90500000e-06,6.16803990e-06
4.60000000e-01,7.23600000e-06,6.50845390e-06
4.70000000e-01,7.56100000e-06,6.85206500e-06
4.80000000e-01,7.87900000e-06,7.19858410e-06
4.90000000e-01,8.19000000e-06,7.54778410e-06
5.00000000e-01,8.49300000e-06,7.89942700e-06
5.10000000e-01,8.79000000e-06,8.25333880e-06
5.20000000e-01,9.07800000e-06,8.60933800e-06
5.30000000e-01,9.35900000e-06,8.96724550e-06
5.40000000e-01,9.63200000e-06,9.32687950e-06
5.50000000e-01,9.89700000e-06,9.68808230e-06
5.60000000e-01,1.01600000e-05,1.00507070e-05
5.70000000e-01,1.04100000e-05,1.04146030e-05
5.80000000e-01,1.06500000e-05,1.07796440e-05
5.90000000e-01,1.08800000e-05,1.11456960e-05
6.00000000e-01,1.11100000e-05,1.15126280e-05
6.10000000e-01,1.13300000e-05,1.18803120e-05
6.20000000e-01,1.15500000e-05,1.22486170e-05
6.30000000e-01,1.17600000e-05,1.26174120e-05
6.40000000e-01,1.19600000e-05,1.29865610e-05
6.50000000e-01,1.21500000e-05,1.33559190e-05
6.60000000e-01,1.23400000e-05,1.37253310e-05
6.70000000e-01,1.25300000e-05,1.40946310e-05
6.80000000e-01,1.27100000e-05,1.44636330e-05
6.90000000e-01,1.28800000e-05,1.48321280e-05
7.00000000e-01,1.30500000e-05,1.51998730e-05
