tag,round_name,u0,xl,dvtshift,delta_wgaa,delta_tgaa,eot_0,loss,log_rmse_all,log_rmse_low,log_rmse_mid,rel_rmse_high,lin_rmse,max_rel_err_high,status
fit_c044,coarse,0.015,1.2e-08,0.0,0.0,0.0,9.5e-10,0.0855324256888028,0.06501713997795043,0.10338026256765455,0.0476675105687408,0.08206114284340948,6.265044703384138e-07,0.1414401949279444,ok
fit_c064,coarse,0.015,1.2e-08,0.0,0.0,0.0,1.05e-09,0.08905266214815623,0.06349520367389855,0.08224062594487463,0.058623420487663495,0.10222983389703072,7.4078655989704e-07,0.16446670310995357,ok
fit_l080,local,0.012,1.2e-08,-0.02,0.0,0.0,9.024999999999999e-10,0.11022739621138053,0.05482159559480738,0.012171631618191046,0.027999280287149774,0.2216232024662926,1.3889135275643285e-06,0.286836146591488,ok
fit_l116,local,0.015,1.2e-08,-0.02,0.0,0.0,9.024999999999999e-10,0.11090229747183787,0.09591311840071282,0.10860806497228143,0.10638014828915807,0.05995671628450022,8.157759238595901e-07,0.10854518323935988,ok
fit_c024,coarse,0.015,1.2e-08,0.0,0.0,0.0,9.000000000000001e-10,0.13043680648267636,0.11246954352611724,0.19635210257965094,0.07031782695309605,0.07186905182623646,5.769412693988669e-07,0.1289400904862823,ok
fit_l082,local,0.012,1.2e-08,-0.02,0.0,-1e-09,9.024999999999999e-10,0.15575557482842697,0.09592439362439371,0.1303501147777917,0.058898900273726344,0.239324724816133,1.5022556113247417e-06,0.30525735313709523,ok
fit_l118,local,0.015,1.2e-08,-0.02,0.0,-1e-09,9.024999999999999e-10,0.16997475546232044,0.15202343020130624,0.22700249229694347,0.135453868711232,0.07180530104405686,8.650399210882964e-07,0.13157169142136904,ok
fit_c004,coarse,0.015,1.2e-08,0.0,0.0,0.0,8.500000000000001e-10,0.17968515873868207,0.1640867835565874,0.2899871515878083,0.10077446799556758,0.062393500728378695,5.382030413711534e-07,0.1157820858108485,ok
fit_c048,coarse,0.02,1.2e-08,0.0,0.0,0.0,9.5e-10,0.18005865863421933,0.11717303753876925,0.022087171608666387,0.1474270281889716,0.2515424843818003,2.1216910531647102e-06,0.34716891060499544,ok
fit_c028,coarse,0.02,1.2e-08,0.0,0.0,0.0,9.000000000000001e-10,0.1846272585579504,0.117525301084427,0.07188170312709476,0.1386171400760618,0.26840782989409356,2.1976255784945154e-06,0.36408314360372857,ok
fit_l094,local,0.012,1.2e-08,0.0,0.0,-1e-09,9.024999999999999e-10,0.1857434723882747,0.1199453724155198,0.16703416539958196,0.08140997154983493,0.2631923998910197,1.672154980655037e-06,0.32170485898138756,ok
fit_c008,coarse,0.02,1.2e-08,0.0,0.0,0.0,8.500000000000001e-10,0.21159356327750936,0.13997397267542175,0.16545482691950017,0.1377783777049332,0.28647836240835045,2.283601031407687e-06,0.3819923314847405,ok
fit_c068,coarse,0.02,1.2e-08,0.0,0.0,0.0,1.05e-09,0.22771848248019494,0.17246212462880436,0.2060729310126577,0.18040115481595767,0.22102543140556233,1.9988954688241543e-06,0.31632530925436403,ok
fit_l092,local,0.012,1.2e-08,0.0,0.0,0.0,9.024999999999999e-10,0.24142484906505604,0.17974579176689456,0.28841745068377134,0.12210651284273023,0.24671622919264594,1.5753585753657945e-06,0.30394155266955186,ok
fit_c060,coarse,0.01,1.2e-08,0.0,0.0,0.0,1.05e-09,0.24245910412405813,0.14369847895256738,0.0962049460262819,0.12347500327841364,0.39504250068596297,2.5728694293702105e-06,0.4426927119720013,ok
fit_c069,coarse,0.02,1.2e-08,0.04,0.0,0.0,1.05e-09,0.26102320256844064,0.22940157094394611,0.38583956640742206,0.1636040856018477,0.12648652649797815,9.846407737078905e-07,0.1810114452644974,ok
fit_l122,local,0.015,1.6e-08,-0.02,0.0,-1e-09,9.024999999999999e-10,0.2933056836718907,0.24044553814599262,0.4108582497562753,0.15427617407694696,0.21144058210359232,1.3532249134133765e-06,0.2684149400458806,ok
