vg,id_va_best,id_csv_interp
0.00000000e+00,2.92900000e-10,2.49770030e-10
1.00000000e-02,4.13800000e-10,3.55870240e-10
2.00000000e-02,5.84500000e-10,5.06834030e-10
3.00000000e-02,8.25600000e-10,7.21506920e-10
4.00000000e-02,1.16600000e-09,1.02657590e-09
5.00000000e-02,1.64700000e-09,1.45977620e-09
6.00000000e-02,2.32500000e-09,2.07436840e-09
7.00000000e-02,3.28200000e-09,2.94536670e-09
8.00000000e-02,4.63200000e-09,4.17813240e-09
9.00000000e-02,6.53300000e-09,5.92014020e-09
1.00000000e-01,9.21000000e-09,8.37688120e-09
1.10000000e-01,1.29700000e-08,1.18330150e-08
1.20000000e-01,1.82500000e-08,1.66798790e-08
1.30000000e-01,2.56200000e-08,2.34501030e-08
1.40000000e-01,3.59000000e-08,3.28592130e-08
1.50000000e-01,5.01400000e-08,4.58518020e-08
1.60000000e-01,6.97300000e-08,6.36471790e-08
1.70000000e-01,9.64500000e-08,8.77748640e-08
1.80000000e-01,1.32500000e-07,1.20085860e-07
1.90000000e-01,1.80400000e-07,1.62713650e-07
2.00000000e-01,2.43000000e-07,2.17981230e-07
2.10000000e-01,3.23300000e-07,2.88233540e-07
2.20000000e-01,4.24100000e-07,3.75712240e-07
2.30000000e-01,5.48000000e-07,4.82227260e-07
2.40000000e-01,6.96700000e-07,6.08887140e-07
2.50000000e-01,8.71300000e-07,7.55880690e-07
2.60000000e-01,1.07200000e-06,9.20681520e-07
2.70000000e-01,1.29800000e-06,1.10057770e-06
2.80000000e-01,1.54900000e-06,1.29423720e-06
2.90000000e-01,1.82100000e-06,1.50276230e-06
3.00000000e-01,2.11400000e-06,1.72505340e-06
3.10000000e-01,2.42400000e-06,1.96082480e-06
3.20000000e-01,2.74900000e-06,2.20878210e-06
3.30000000e-01,3.08600000e-06,2.46812990e-06
3.40000000e-01,3.43200000e-06,2.73777020e-06
3.50000000e-01,3.78600000e-06,3.01665420e-06
3.60000000e-01,4.14600000e-06,3.30406880e-06
3.70000000e-01,4.50800000e-06,3.59923130e-06
3.80000000e-01,4.87200000e-06,3.90137990e-06
3.90000000e-01,5.23600000e-06,4.20994180e-06
4.00000000e-01,5.59900000e-06,4.52438520e-06
4.10000000e-01,5.96000000e-06,4.84415570e-06
4.20000000e-01,6.31700000e-06,5.16875330e-06
4.30000000e-01,6.67000000e-06,5.49784560e-06
4.40000000e-01,7.01800000e-06,5.83107170e-06
4.50000000e-01,7.36100000e-06,6.16803990e-06
4.60000000e-01,7.69700000e-06,6.50845390e-06
4.70000000e-01,8.02600000e-06,6.85206500e-06
4.80000000e-01,8.34800000e-06,7.19858410e-06
4.90000000e-01,8.66300000e-06,7.54778410e-06
5.00000000e-01,8.97000000e-06,7.89942700e-06
5.10000000e-01,9.27000000e-06,8.25333880e-06
5.20000000e-01,9.56100000e-06,8.60933800e-06
5.30000000e-01,9.84500000e-06,8.96724550e-06
5.40000000e-01,1.01200000e-05,9.32687950e-06
5.50000000e-01,1.03900000e-05,9.68808230e-06
5.60000000e-01,1.06500000e-05,1.00507070e-05
5.70000000e-01,1.09000000e-05,1.04146030e-05
5.80000000e-01,1.11500000e-05,1.07796440e-05
5.90000000e-01,1.13800000e-05,1.11456960e-05
6.00000000e-01,1.16100000e-05,1.15126280e-05
6.10000000e-01,1.18400000e-05,1.18803120e-05
6.20000000e-01,1.20500000e-05,1.22486170e-05
6.30000000e-01,1.22600000e-05,1.26174120e-05
6.40000000e-01,1.24700000e-05,1.29865610e-05
6.50000000e-01,1.26700000e-05,1.33559190e-05
6.60000000e-01,1.28600000e-05,1.37253310e-05
6.70000000e-01,1.30400000e-05,1.40946310e-05
6.80000000e-01,1.32200000e-05,1.44636330e-05
6.90000000e-01,1.34000000e-05,1.48321280e-05
7.00000000e-01,1.35700000e-05,1.51998730e-05
7.10000000e-01,1.37300000e-05,1.55665860e-05
7.20000000e-01,1.38900000e-05,1.59319320e-05
7.30000000e-01,1.40500000e-05,1.62955050e-05
7.40000000e-01,1.42000000e-05,1.66568080e-05
7.50000000e-01,1.43500000e-05,1.70152350e-05
7.60000000e-01,1.44900000e-05,1.73700580e-05
7.70000000e-01,1.46300000e-05,1.77204310e-05
7.80000000e-01,1.47600000e-05,1.80654250e-05
7.90000000e-01,1.48900000e-05,1.84040870e-05
8.00000000e-01,1.50200000e-05,1.87355180e-05
8.10000000e-01,1.51500000e-05,1.90589500e-05
8.20000000e-01,1.52700000e-05,1.93738000e-05
8.30000000e-01,1.53900000e-05,1.96797160e-05
8.40000000e-01,1.55000000e-05,1.99765850e-05
8.50000000e-01,1.56100000e-05,2.02645270e-05
8.60000000e-01,1.57200000e-05,2.05438280e-05
8.70000000e-01,1.58300000e-05,2.08147360e-05
8.80000000e-01,1.59300000e-05,2.10774160e-05
8.90000000e-01,1.60300000e-05,2.13316830e-05
9.00000000e-01,1.61300000e-05,2.15765550e-05
9.10000000e-01,1.62300000e-05,2.18100440e-05
9.20000000e-01,1.63300000e-05,2.20292560e-05
9.30000000e-01,1.64200000e-05,2.22311260e-05
9.40000000e-01,1.65100000e-05,2.24134540e-05
9.50000000e-01,1.66000000e-05,2.25752330e-05
9.60000000e-01,1.66800000e-05,2.27181290e-05
9.70000000e-01,1.67700000e-05,2.28441340e-05
9.80000000e-01,1.68500000e-05,2.29554400e-05
9.90000000e-01,1.69300000e-05,2.30541470e-05
1.00000000e+00,1.70100000e-05,2.31420960e-05
