tag,round_name,u0,xl,dvtshift,delta_wgaa,delta_tgaa,eot_0,loss,log_rmse_all,log_rmse_low,log_rmse_mid,rel_rmse_high,lin_rmse,max_rel_err_high,status
fit_l202,local,0.016,1.2e-08,0.0,0.0,-1e-09,9.5e-10,0.12514848290673236,0.07888012793417624,0.04896619216542235,0.07411576007350532,0.18507341989022452,2.619270541475683e-06,0.26596919945773206,ok
fit_c048,coarse,0.02,1.2e-08,0.0,0.0,0.0,9.5e-10,0.13738340606413385,0.09916348103730503,0.022087171608666387,0.1474270281889716,0.15287970010731528,1.873304018483035e-06,0.34716891060499544,ok
fit_c044,coarse,0.015,1.2e-08,0.0,0.0,0.0,9.5e-10,0.1396947379019824,0.08744907750394283,0.10338026256765455,0.0476675105687408,0.20898264159215824,2.8880949254469717e-06,0.2904086449501654,ok
fit_c028,coarse,0.02,1.2e-08,0.0,0.0,0.0,9.000000000000001e-10,0.14036392370656478,0.09955966783229578,0.07188170312709476,0.1386171400760618,0.16321702349707598,1.9381487764433138e-06,0.36408314360372857,ok
fit_l130,local,0.02,1.2e-08,0.0,0.0,-1e-09,9.024999999999999e-10,0.14123675699215557,0.10427608980376621,0.05477427508762164,0.15336643937542743,0.14784266875355745,1.866536941801796e-06,0.3402042264290463,ok
fit_l266,local,0.024,1.6e-08,-0.02,0.0,-1e-09,9.5e-10,0.14466736159923127,0.10585489427528981,0.1352947229431714,0.12972044595418877,0.15524986929576579,1.829183666853385e-06,0.3451790008404384,ok
fit_l230,local,0.02,1.6e-08,-0.02,0.0,-1e-09,9.5e-10,0.14611435842118178,0.11219258079121201,0.21396923026748862,0.08289737477613812,0.13568711051987906,1.9601982313459777e-06,0.20198331878109277,ok
fit_c064,coarse,0.015,1.2e-08,0.0,0.0,0.0,1.05e-09,0.1477906074767478,0.0912611560126988,0.08224062594487463,0.058623420487663495,0.22611780585619598,3.0977587604805325e-06,0.3067210772506838,ok
fit_l080,local,0.016,1.2e-08,-0.02,0.0,0.0,9.024999999999999e-10,0.1499550939727484,0.11159171171500583,0.13658287827650795,0.13361851293461136,0.15345352903097023,2.2773603158923447e-06,0.22693501972979147,ok
fit_c008,coarse,0.02,1.2e-08,0.0,0.0,0.0,8.500000000000001e-10,0.1621317835942699,0.11839611481182839,0.16545482691950017,0.1377783777049332,0.17494267512976605,2.022358706387408e-06,0.3819923314847405,ok
fit_c024,coarse,0.015,1.2e-08,0.0,0.0,0.0,9.000000000000001e-10,0.16473124186996724,0.11473301434356782,0.19635210257965094,0.07031782695309605,0.19999291010559767,2.7778999112039138e-06,0.28165366216114823,ok
fit_l248,local,0.02,1.2e-08,0.02,0.0,0.0,9.5e-10,0.17679411952984284,0.145469802889555,0.2784104758483326,0.1287867796046941,0.1252972665611514,1.4571482396372648e-06,0.27752206884550523,ok
fit_c068,coarse,0.02,1.2e-08,0.0,0.0,0.0,1.05e-09,0.17936420029508046,0.14528052904010516,0.2060729310126577,0.18040115481595767,0.13633468501990123,1.799003089163494e-06,0.31632530925436403,ok
fit_c004,coarse,0.015,1.2e-08,0.0,0.0,0.0,8.500000000000001e-10,0.19869778878483021,0.1509968397542054,0.2899871515878083,0.10077446799556758,0.1908037961224993,2.6644761352131008e-06,0.27250359827561577,ok
fit_l120,local,0.02,1.6e-08,-0.02,0.0,0.0,9.024999999999999e-10,0.21367586336563646,0.18462110347294802,0.38406451866323793,0.13184969259705584,0.11621903957075377,1.6523260235380767e-06,0.16652563848557356,ok
fit_c069,coarse,0.02,1.2e-08,0.04,0.0,0.0,1.05e-09,0.21598414860011275,0.1930668905894324,0.38583956640742206,0.1636040856018477,0.09166903204272137,1.1535072637165247e-06,0.1810114452644974,ok
fit_l302,local,0.016,1.6e-08,-0.02,0.0,-1e-09,9.975000000000001e-10,0.2251066178438312,0.1521900635454031,0.23840050504316915,0.08302339404441268,0.29166621719371244,3.869965955474785e-06,0.3687860474777655,ok
fit_l284,local,0.024,1.2e-08,0.02,0.0,0.0,9.5e-10,0.22563432779678833,0.1502913310356161,0.19945303241372664,0.16309786675301977,0.3013719870446889,3.3842268959169165e-06,0.5322305187087837,ok
fit_l116,local,0.02,1.2e-08,-0.02,0.0,0.0,9.024999999999999e-10,0.2259248731777781,0.17824879538661578,0.23329973803256845,0.22915055529948264,0.19070431116464928,2.398764766681345e-06,0.4297501658341051,ok
fit_c073,coarse,0.025,1.2e-08,0.04,0.0,0.0,1.05e-09,0.24297809546796023,0.17262811693939611,0.289192906890516,0.16284236230682805,0.2813999141142564,3.1291643051044286e-06,0.47551809041891296,ok
fit_l166,local,0.024,1.2e-08,0.0,0.0,-1e-09,9.024999999999999e-10,0.25254626031911576,0.17141734668174183,0.13364472130571528,0.23083810564643503,0.3245156545494958,3.7770842270618722e-06,0.6078470897619443,ok
fit_l384,local,0.024,1.6e-08,0.0,0.0,0.0,9.975000000000001e-10,0.2624511517325101,0.2296212843953459,0.47072199553870653,0.17889865378117545,0.13131946934865688,1.4281413006027466e-06,0.2795119786100621,ok
fit_l380,local,0.024,1.2e-08,0.0,0.0,0.0,9.975000000000001e-10,0.26532817688342936,0.18453275019952764,0.18843198830447447,0.23953369468020871,0.323181706735607,3.7779827381617955e-06,0.5978975409391598,ok
fit_c032,coarse,0.025,1.2e-08,0.0,0.0,0.0,9.000000000000001e-10,0.2717190310390182,0.16973923691248435,0.026102102131118538,0.2272522221479999,0.4079191765061352,4.711484602384934e-06,0.704357713342952,ok
fit_l298,local,0.016,1.2e-08,-0.02,0.0,-1e-09,9.975000000000001e-10,0.2744232482122068,0.22840395217490803,0.4292306392870135,0.20396752733230938,0.18407718414919522,2.6934603528380945e-06,0.266943166450704,ok
fit_c012,coarse,0.025,1.2e-08,0.0,0.0,0.0,8.500000000000001e-10,0.275960192838519,0.16922743114818928,0.06937224358740142,0.2172812124860571,0.4269310467613191,4.90576370882252e-06,0.7272416756353559,ok
fit_c052,coarse,0.025,1.2e-08,0.0,0.0,0.0,9.5e-10,0.2790125045449393,0.1815234054694995,0.11824441499464161,0.2412443936736233,0.38995639630175927,4.532340278248154e-06,0.683463660815105,ok
fit_l170,local,0.024,1.6e-08,0.0,0.0,-1e-09,9.024999999999999e-10,0.28472563510653737,0.2506910700419731,0.5152359703785385,0.19466698250525644,0.13613826025825707,1.4802877102158515e-06,0.2904564823151247,ok
fit_l348,local,0.02,1.6e-08,0.0,0.0,0.0,9.975000000000001e-10,0.30060976393005895,0.26783859327034565,0.5496866691949205,0.20722777062887343,0.1310846826388532,1.860501261532606e-06,0.19535627251698412,ok
fit_l084,local,0.016,1.6e-08,-0.02,0.0,0.0,9.024999999999999e-10,0.3082319867701192,0.24473615822844777,0.4806543088158271,0.17216720801158114,0.25398331416668574,3.4181918291173065e-06,0.33330806061634904,ok
fit_c049,coarse,0.02,1.2e-08,0.04,0.0,0.0,9.5e-10,0.3115919168824204,0.2870192658464501,0.5793366086777175,0.24092288852541807,0.09829060414388115,1.1211649968967703e-06,0.20389540755690125,ok
fit_c072,coarse,0.025,1.2e-08,0.0,0.0,0.0,1.05e-09,0.31834291370164053,0.2289978064386287,0.3025975031088653,0.2765666700867849,0.3573804290520473,4.215235966192602e-06,0.644660420406246,ok
fit_l134,local,0.02,1.6e-08,0.0,0.0,-1e-09,9.024999999999999e-10,0.32276398608769735,0.2893036995927821,0.5941724941753326,0.22452741439254356,0.13384114597966096,1.902926025359246e-06,0.20067007136274015,ok
fit_c077,coarse,0.03,1.2e-08,0.04,0.0,0.0,1.05e-09,0.32545306753770925,0.1938615981182919,0.21035955933171338,0.20041210916613417,0.5263658776776694,6.072682078047082e-06,0.7700247355733285,ok
fit_c060,coarse,0.01,1.2e-08,0.0,0.0,0.0,1.05e-09,0.3266062064810943,0.20789016033887292,0.0962049460262819,0.12347500327841364,0.47486418456888535,6.072566917309388e-06,0.5378140515004559,ok
fit_l334,local,0.02,1.2e-08,-0.02,0.0,-1e-09,9.975000000000001e-10,0.3276705635767802,0.2886950777803373,0.5258043002353341,0.2935898284373623,0.1559019431857716,2.2198550237536735e-06,0.3700528728973993,ok
fit_c053,coarse,0.025,1.2e-08,0.04,0.0,0.0,9.5e-10,0.3328661633765708,0.25500272393385703,0.48265655011117414,0.21628693554920977,0.3114537577708552,3.4449868012486206e-06,0.5043717820049873,ok
fit_c065,coarse,0.015,1.2e-08,0.04,0.0,0.0,1.05e-09,0.3367608099091486,0.2730340175454174,0.510489071847152,0.23382299418077623,0.25490716945492475,3.3951746711179665e-06,0.3222661312067079,ok
fit_l152,local,0.024,1.2e-08,-0.02,0.0,0.0,9.024999999999999e-10,0.34533931195919987,0.24790054429661199,0.31229444510712073,0.3077145936305557,0.3897550706503514,4.630477093368477e-06,0.7162971719302931,ok
fit_l398,local,0.024,1.6e-08,0.02,0.0,-1e-09,9.975000000000001e-10,0.3528145600470994,0.33024440398643734,0.6728133915707166,0.27163680802322443,0.09028062424264824,1.0391936022410252e-06,0.1820064001467758,ok
fit_c040,coarse,0.01,1.2e-08,0.0,0.0,0.0,9.5e-10,0.3551661849655862,0.23974597854802157,0.27915544377801355,0.1664130017718262,0.46168082567025853,5.92144819513137e-06,0.5269095255852208,ok
fit_c029,coarse,0.02,1.2e-08,0.04,0.0,0.0,9.000000000000001e-10,0.3615130970917844,0.3353755216142684,0.6767967877423876,0.2825764519396749,0.104550301910064,1.1416040212178483e-06,0.21682982102652087,ok
