Vg,Vd,Id
-0.12,0.05,1.796e-11
-0.115,0.05,2.134e-11
-0.11,0.05,2.534e-11
-0.105,0.05,3.01e-11
-0.1,0.05,3.575e-11
-0.095,0.05,4.246e-11
-0.09,0.05,5.043e-11
-0.085,0.05,5.99e-11
-0.08,0.05,7.115e-11
-0.075,0.05,8.451e-11
-0.07,0.05,1.004e-10
-0.065,0.05,1.192e-10
-0.06,0.05,1.416e-10
-0.055,0.05,1.682e-10
-0.05,0.05,1.998e-10
-0.045,0.05,2.373e-10
-0.04,0.05,2.818e-10
-0.035,0.05,3.347e-10
-0.03,0.05,3.975e-10
-0.025,0.05,4.722e-10
-0.02,0.05,5.608e-10
-0.015,0.05,6.66e-10
-0.01,0.05,7.911e-10
-0.005,0.05,9.395e-10
0.0,0.05,1.116e-09
0.005,0.05,1.325e-09
0.01,0.05,1.574e-09
0.015,0.05,1.869e-09
0.02,0.05,2.22e-09
0.025,0.05,2.636e-09
0.03,0.05,3.131e-09
0.035,0.05,3.718e-09
0.04,0.05,4.415e-09
0.045,0.05,5.243e-09
0.05,0.05,6.225e-09
0.055,0.05,7.391e-09
0.06,0.05,8.774e-09
0.065,0.05,1.042e-08
0.07,0.05,1.236e-08
0.075,0.05,1.467e-08
0.08,0.05,1.741e-08
0.085,0.05,2.066e-08
0.09,0.05,2.451e-08
0.095,0.05,2.907e-08
0.1,0.05,3.447e-08
0.105,0.05,4.085e-08
0.11,0.05,4.84e-08
0.115,0.05,5.733e-08
0.12,0.05,6.786e-08
0.125,0.05,8.028e-08
0.13,0.05,9.491e-08
0.135,0.05,1.121e-07
0.14,0.05,1.323e-07
0.145,0.05,1.56e-07
0.15,0.05,1.837e-07
0.155,0.05,2.16e-07
0.16,0.05,2.535e-07
0.165,0.05,2.971e-07
0.17,0.05,3.475e-07
0.175,0.05,4.054e-07
0.18,0.05,4.72e-07
0.185,0.05,5.479e-07
0.19,0.05,6.342e-07
0.195,0.05,7.319e-07
0.2,0.05,8.417e-07
0.205,0.05,9.647e-07
0.21,0.05,1.102e-06
0.215,0.05,1.253e-06
0.22,0.05,1.42e-06
0.225,0.05,1.602e-06
0.23,0.05,1.801e-06
0.235,0.05,2.017e-06
