time_s,q_v,qb_v,bl_v,blb_v,wl_v,ivdd_a
0.0,0.7,1.975e-11,0.7,0.7,0.0,-5.246e-10
2e-13,0.7,2.058e-07,0.7,0.7,0.0,-5.867e-10
4e-13,0.7,4.115e-07,0.7,0.7,0.0,-6.488e-10
6e-13,0.7,6.173e-07,0.7,0.7,0.0,-7.109e-10
8e-13,0.7,8.23e-07,0.7,0.7,0.0,-7.73e-10
1e-12,0.7,1.029e-06,0.7,0.7,0.0,-8.351e-10
1.2e-12,0.7,1.179e-06,0.7,0.7,0.0,-8.917e-10
1.4e-12,0.7,1.329e-06,0.7,0.7,0.0,-9.483e-10
1.6e-12,0.7,1.479e-06,0.7,0.7,0.0,-1.005e-09
1.8e-12,0.7,1.628e-06,0.7,0.7,0.0,-1.062e-09
2e-12,0.7,1.778e-06,0.7,0.7,0.0,-1.118e-09
2.2e-12,0.7,1.868e-06,0.7,0.7,0.0,-1.154e-09
2.4e-12,0.7,1.958e-06,0.7,0.7,0.0,-1.189e-09
2.6e-12,0.7,2.047e-06,0.7,0.7,0.0,-1.225e-09
2.8e-12,0.7,2.137e-06,0.7,0.7,0.0,-1.26e-09
3e-12,0.7,2.227e-06,0.7,0.7,0.0,-1.296e-09
3.2e-12,0.7,2.316e-06,0.7,0.7,0.0,-1.332e-09
3.4e-12,0.7,2.406e-06,0.7,0.7,0.0,-1.367e-09
3.6e-12,0.7,2.495e-06,0.7,0.7,0.0,-1.403e-09
3.8e-12,0.7,2.585e-06,0.7,0.7,0.0,-1.438e-09
4e-12,0.7,2.675e-06,0.7,0.7,0.0,-1.474e-09
4.2e-12,0.7,2.764e-06,0.7,0.7,0.0,-1.509e-09
4.4e-12,0.7,2.854e-06,0.7,0.7,0.0,-1.545e-09
4.6e-12,0.7,2.944e-06,0.7,0.7,0.0,-1.58e-09
4.8e-12,0.7,3.033e-06,0.7,0.7,0.0,-1.616e-09
5e-12,0.7,3.123e-06,0.7,0.7,0.0,-1.652e-09
5.2e-12,0.7,3.213e-06,0.7,0.7,0.0,-1.687e-09
5.4e-12,0.7,3.233e-06,0.7,0.7,0.0,-1.696e-09
5.6e-12,0.7,3.253e-06,0.7,0.7,0.0,-1.705e-09
5.8e-12,0.7,3.274e-06,0.7,0.7,0.0,-1.714e-09
6e-12,0.7,3.294e-06,0.7,0.7,0.0,-1.723e-09
