noise_v,q_v,qb_v,gq_v,gqb_v
0.0,0.6994,0.154,0.6994,0.154
0.001,0.6994,0.1542,0.6984,0.1552
0.002,0.6994,0.1544,0.6974,0.1564
0.003,0.6993,0.1546,0.6963,0.1576
0.004,0.6993,0.1547,0.6953,0.1587
0.005,0.6993,0.1549,0.6943,0.1599
0.006,0.6993,0.1551,0.6933,0.1611
0.007,0.6992,0.1553,0.6922,0.1623
0.008,0.6992,0.1554,0.6912,0.1634
0.009,0.6992,0.1556,0.6902,0.1646
0.01,0.6991,0.1558,0.6891,0.1658
0.011,0.6991,0.156,0.6881,0.167
0.012,0.6991,0.1562,0.6871,0.1682
0.013,0.699,0.1564,0.686,0.1694
0.014,0.699,0.1565,0.685,0.1705
0.015,0.6989,0.1567,0.6839,0.1717
0.016,0.6989,0.1569,0.6829,0.1729
0.017,0.6989,0.1571,0.6819,0.1741
0.018,0.6988,0.1573,0.6808,0.1753
0.019,0.6988,0.1575,0.6798,0.1765
0.02,0.6987,0.1577,0.6787,0.1777
0.021,0.6987,0.1579,0.6777,0.1789
0.022,0.6986,0.1581,0.6766,0.1801
0.023,0.6986,0.1583,0.6756,0.1813
0.024,0.6985,0.1585,0.6745,0.1825
0.025,0.6984,0.1587,0.6734,0.1837
0.026,0.6984,0.1589,0.6724,0.1849
0.027,0.6983,0.1591,0.6713,0.1861
0.028,0.6983,0.1593,0.6703,0.1873
0.029,0.6982,0.1595,0.6692,0.1885
0.03,0.6981,0.1598,0.6681,0.1898
0.031,0.698,0.16,0.667,0.191
0.032,0.698,0.1602,0.666,0.1922
0.033,0.6979,0.1604,0.6649,0.1934
0.034,0.6978,0.1606,0.6638,0.1946
0.035,0.6977,0.1609,0.6627,0.1959
0.036,0.6976,0.1611,0.6616,0.1971
0.037,0.6975,0.1613,0.6605,0.1983
0.038,0.6974,0.1616,0.6594,0.1996
0.039,0.6974,0.1618,0.6584,0.2008
0.04,0.6972,0.162,0.6572,0.202
0.041,0.6971,0.1623,0.6561,0.2033
0.042,0.697,0.1625,0.655,0.2045
0.043,0.6969,0.1628,0.6539,0.2058
0.044,0.6968,0.163,0.6528,0.207
0.045,0.6967,0.1632,0.6517,0.2082
0.046,0.6966,0.1635,0.6506,0.2095
0.047,0.6964,0.1638,0.6494,0.2108
0.048,0.6963,0.164,0.6483,0.212
0.049,0.6962,0.1643,0.6472,0.2133
0.05,0.696,0.1645,0.646,0.2145
0.051,0.6959,0.1648,0.6449,0.2158
0.052,0.6957,0.1651,0.6437,0.2171
0.053,0.6955,0.1654,0.6425,0.2184
0.054,0.6954,0.1656,0.6414,0.2196
0.055,0.6952,0.1659,0.6402,0.2209
0.056,0.695,0.1662,0.639,0.2222
0.057,0.6948,0.1665,0.6378,0.2235
0.058,0.6946,0.1668,0.6366,0.2248
0.059,0.6944,0.1671,0.6354,0.2261
0.06,0.6942,0.1674,0.6342,0.2274
0.061,0.694,0.1677,0.633,0.2287
0.062,0.6938,0.168,0.6318,0.23
0.063,0.6936,0.1683,0.6306,0.2313
0.064,0.6933,0.1687,0.6293,0.2327
0.065,0.6931,0.169,0.6281,0.234
0.066,0.6928,0.1693,0.6268,0.2353
0.067,0.6925,0.1697,0.6255,0.2367
0.068,0.6923,0.17,0.6243,0.238
0.069,0.692,0.1704,0.623,0.2394
0.07,0.6917,0.1707,0.6217,0.2407
0.071,0.6914,0.1711,0.6204,0.2421
0.072,0.691,0.1714,0.619,0.2434
0.073,0.6907,0.1718,0.6177,0.2448
0.074,0.6904,0.1722,0.6164,0.2462
0.075,0.69,0.1726,0.615,0.2476
0.076,0.6896,0.173,0.6136,0.249
0.077,0.6892,0.1734,0.6122,0.2504
0.078,0.6888,0.1738,0.6108,0.2518
0.079,0.6884,0.1743,0.6094,0.2533
0.08,0.6879,0.1747,0.6079,0.2547
0.081,0.6875,0.1751,0.6065,0.2561
0.082,0.687,0.1756,0.605,0.2576
0.083,0.6865,0.1761,0.6035,0.2591
0.084,0.6859,0.1766,0.6019,0.2606
0.085,0.6854,0.1771,0.6004,0.2621
0.086,0.6848,0.1776,0.5988,0.2636
0.087,0.6842,0.1781,0.5972,0.2651
0.088,0.6835,0.1787,0.5955,0.2667
0.089,0.6829,0.1792,0.5939,0.2682
0.09,0.6822,0.1798,0.5922,0.2698
0.091,0.6814,0.1804,0.5904,0.2714
0.092,0.6806,0.181,0.5886,0.273
0.093,0.6798,0.1817,0.5868,0.2747
0.094,0.6789,0.1824,0.5849,0.2764
0.095,0.6779,0.1831,0.5829,0.2781
0.096,0.6769,0.1839,0.5809,0.2799
0.097,0.6758,0.1847,0.5788,0.2817
0.098,0.6746,0.1855,0.5766,0.2835
0.099,0.6733,0.1864,0.5743,0.2854
0.1,0.6718,0.1874,0.5718,0.2874
0.101,0.6703,0.1884,0.5693,0.2894
0.102,0.6685,0.1896,0.5665,0.2916
0.103,0.6665,0.1909,0.5635,0.2939
0.104,0.6641,0.1923,0.5601,0.2963
0.105,0.6612,0.1941,0.5562,0.2991
0.106,0.6575,0.1963,0.5515,0.3023
0.107,0.6513,0.1998,0.5443,0.3068
0.108,0.1404,0.7,0.03242,0.808
0.109,0.1403,0.7,0.03133,0.809
0.11,0.1402,0.7,0.03023,0.81
0.111,0.1401,0.7,0.02914,0.811
0.112,0.14,0.7,0.02804,0.812
0.113,0.14,0.7,0.02695,0.813
0.114,0.1399,0.7,0.02586,0.814
0.115,0.1398,0.7,0.02477,0.815
0.116,0.1397,0.7,0.02367,0.816
0.117,0.1396,0.7,0.02258,0.817
0.118,0.1395,0.7,0.02149,0.818
0.119,0.1394,0.7,0.0204,0.819
0.12,0.1393,0.7,0.01931,0.82
0.121,0.1392,0.7,0.01822,0.821
0.122,0.1391,0.7,0.01713,0.822
0.123,0.139,0.7,0.01604,0.823
0.124,0.139,0.7,0.01496,0.824
0.125,0.1389,0.7,0.01387,0.825
0.126,0.1388,0.7,0.01278,0.826
0.127,0.1387,0.7,0.01169,0.827
0.128,0.1386,0.7,0.0106,0.828
0.129,0.1385,0.7,0.009518,0.829
0.13,0.1384,0.7,0.008432,0.83
0.131,0.1383,0.7,0.007346,0.831
0.132,0.1383,0.7,0.00626,0.832
0.133,0.1382,0.7,0.005175,0.833
0.134,0.1381,0.7,0.00409,0.834
0.135,0.138,0.7,0.003005,0.835
0.136,0.1379,0.7,0.001921,0.836
