time_s,q_v,qb_v,bl_v,blb_v,wl_v,ivdd_a
0.0,0.7,1.975e-11,0.6993,0.7,0.0,-5.246e-10
2e-13,0.7022,0.0002018,0.5722,0.7,0.0,1.048e-06
4e-13,0.7043,0.0004036,0.445,0.7,0.0,2.096e-06
6e-13,0.7065,0.0006053,0.3179,0.7,0.0,3.145e-06
8e-13,0.7086,0.0008071,0.1907,0.7,0.0,4.193e-06
1e-12,0.7108,0.001009,0.06357,0.7,0.0,5.241e-06
1.2e-12,0.7108,0.0009302,0.02724,0.7,0.0,5.319e-06
1.4e-12,0.7103,0.0008032,0.00637,0.7,0.0,5.142e-06
1.6e-12,0.7096,0.0006547,-2.3e-05,0.7,0.0,4.814e-06
1.8e-12,0.7089,0.0005159,-0.002089,0.7,0.0,4.46e-06
2e-12,0.7082,0.000382,-0.001968,0.7,0.0,4.094e-06
2.2e-12,0.7075,0.0002653,-0.001476,0.7,0.0,3.753e-06
2.4e-12,0.7068,0.000162,-0.0006934,0.7,0.0,3.433e-06
2.6e-12,0.7063,8.351e-05,-0.0003666,0.7,0.0,3.162e-06
2.8e-12,0.7058,1.096e-05,-0.0001501,0.7,0.0,2.904e-06
3e-12,0.7053,-6.158e-05,6.64e-05,0.7,0.0,2.646e-06
3.2e-12,0.7049,-9.988e-05,6.715e-05,0.7,0.0,2.461e-06
3.4e-12,0.7045,-0.0001382,6.791e-05,0.7,0.0,2.277e-06
3.6e-12,0.7042,-0.0001765,6.866e-05,0.7,0.0,2.092e-06
3.8e-12,0.7038,-0.0002148,6.941e-05,0.7,0.0,1.907e-06
4e-12,0.7034,-0.0002531,7.017e-05,0.7,0.0,1.723e-06
4.2e-12,0.7032,-0.0002687,6.484e-05,0.7,0.0,1.595e-06
4.4e-12,0.7029,-0.0002763,5.738e-05,0.7,0.0,1.487e-06
4.6e-12,0.7027,-0.000284,4.992e-05,0.7,0.0,1.379e-06
4.8e-12,0.7025,-0.0002916,4.246e-05,0.7,0.0,1.271e-06
5e-12,0.7023,-0.0002993,3.5e-05,0.7,0.0,1.163e-06
5.2e-12,0.7021,-0.0003069,2.754e-05,0.7,0.0,1.055e-06
5.4e-12,0.7019,-0.0003146,2.008e-05,0.7,0.0,9.465e-07
5.6e-12,0.7017,-0.0003222,1.262e-05,0.7,0.0,8.385e-07
5.8e-12,0.7015,-0.0003273,6.349e-06,0.7,0.0,7.411e-07
6e-12,0.7014,-0.0003197,5.762e-06,0.7,0.0,6.951e-07
6.2e-12,0.7013,-0.0003122,5.175e-06,0.7,0.0,6.491e-07
6.4e-12,0.7012,-0.0003047,4.587e-06,0.7,0.0,6.031e-07
6.6e-12,0.7011,-0.0002971,4e-06,0.7,0.0,5.571e-07
6.8e-12,0.701,-0.0002896,3.413e-06,0.7,0.0,5.111e-07
7e-12,0.7009,-0.000282,2.825e-06,0.7,0.0,4.651e-07
7.2e-12,0.7008,-0.0002745,2.238e-06,0.7,0.0,4.191e-07
7.4e-12,0.7007,-0.000267,1.651e-06,0.7,0.0,3.731e-07
7.6e-12,0.7006,-0.0002594,1.063e-06,0.7,0.0,3.271e-07
7.8e-12,0.7005,-0.0002519,4.759e-07,0.7,0.0,2.81e-07
8e-12,0.7005,-0.0002444,-1.115e-07,0.7,0.0,2.35e-07
8.2e-12,0.7004,-0.0002368,-6.989e-07,0.7,0.0,1.89e-07
8.4e-12,0.7003,-0.0002293,-1.286e-06,0.7,0.0,1.43e-07
8.6e-12,0.7002,-0.0002218,-1.801e-06,0.7,0.0,1.01e-07
8.8e-12,0.7002,-0.0002144,-1.737e-06,0.7,0.0,9.064e-08
9e-12,0.7002,-0.000207,-1.674e-06,0.7,0.0,8.026e-08
9.2e-12,0.7001,-0.0001996,-1.61e-06,0.7,0.0,6.988e-08
9.4e-12,0.7001,-0.0001922,-1.547e-06,0.7,0.0,5.95e-08
9.6e-12,0.7001,-0.0001848,-1.483e-06,0.7,0.0,4.913e-08
9.8e-12,0.7001,-0.0001775,-1.42e-06,0.7,0.0,3.875e-08
1e-11,0.7001,-0.0001701,-1.356e-06,0.7,0.0,2.837e-08
1.02e-11,0.7,-0.0001627,-1.293e-06,0.7,0.0,1.799e-08
1.04e-11,0.7,-0.0001553,-1.229e-06,0.7,0.0,7.614e-09
1.06e-11,0.7,-0.0001479,-1.165e-06,0.7,0.0,-2.764e-09
1.08e-11,0.7,-0.0001405,-1.102e-06,0.7,0.0,-1.314e-08
1.1e-11,0.7,-0.0001332,-1.038e-06,0.7,0.0,-2.352e-08
1.12e-11,0.6999,-0.0001258,-9.749e-07,0.7,0.0,-3.39e-08
1.14e-11,0.6999,-0.0001184,-9.114e-07,0.7,0.0,-4.428e-08
1.16e-11,0.6999,-0.000111,-8.479e-07,0.7,0.0,-5.465e-08
1.18e-11,0.6999,-0.0001036,-7.844e-07,0.7,0.0,-6.503e-08
1.2e-11,0.6999,-9.623e-05,-7.209e-07,0.7,0.0,-7.541e-08
1.22e-11,0.6998,-8.885e-05,-6.574e-07,0.7,0.0,-8.579e-08
