sweep_v,bl_v,q_v,qb_v
0.7,0.7,0.6994,0.154
0.699,0.699,0.6994,0.154
0.698,0.698,0.6994,0.154
0.697,0.697,0.6994,0.154
0.696,0.696,0.6994,0.154
0.695,0.695,0.6994,0.154
0.694,0.694,0.6994,0.154
0.693,0.693,0.6994,0.154
0.692,0.692,0.6994,0.154
0.691,0.691,0.6994,0.154
0.69,0.69,0.6994,0.154
0.689,0.689,0.6994,0.154
0.688,0.688,0.6994,0.154
0.687,0.687,0.6994,0.154
0.686,0.686,0.6994,0.154
0.685,0.685,0.6994,0.154
0.684,0.684,0.6994,0.154
0.683,0.683,0.6994,0.154
0.682,0.682,0.6994,0.154
0.681,0.681,0.6994,0.154
0.68,0.68,0.6994,0.154
0.679,0.679,0.6994,0.154
0.678,0.678,0.6994,0.154
0.677,0.677,0.6994,0.154
0.676,0.676,0.6994,0.154
0.675,0.675,0.6994,0.154
0.674,0.674,0.6994,0.154
0.673,0.673,0.6994,0.154
0.672,0.672,0.6994,0.154
0.671,0.671,0.6994,0.154
0.67,0.67,0.6994,0.154
0.669,0.669,0.6994,0.154
0.668,0.668,0.6994,0.154
0.667,0.667,0.6994,0.154
0.666,0.666,0.6994,0.154
0.665,0.665,0.6994,0.154
0.664,0.664,0.6994,0.154
0.663,0.663,0.6994,0.154
0.662,0.662,0.6994,0.154
0.661,0.661,0.6994,0.154
0.66,0.66,0.6994,0.154
0.659,0.659,0.6994,0.154
0.658,0.658,0.6994,0.154
0.657,0.657,0.6994,0.154
0.656,0.656,0.6994,0.154
0.655,0.655,0.6994,0.154
0.654,0.654,0.6994,0.154
0.653,0.653,0.6994,0.154
0.652,0.652,0.6994,0.154
0.651,0.651,0.6994,0.154
0.65,0.65,0.6994,0.154
0.649,0.649,0.6994,0.154
0.648,0.648,0.6994,0.154
0.647,0.647,0.6994,0.154
0.646,0.646,0.6994,0.154
0.645,0.645,0.6994,0.154
0.644,0.644,0.6994,0.154
0.643,0.643,0.6994,0.154
0.642,0.642,0.6994,0.154
0.641,0.641,0.6994,0.154
0.64,0.64,0.6994,0.154
0.639,0.639,0.6994,0.154
0.638,0.638,0.6994,0.1541
0.637,0.637,0.6994,0.1541
0.636,0.636,0.6994,0.1541
0.635,0.635,0.6994,0.1541
0.634,0.634,0.6994,0.1541
0.633,0.633,0.6994,0.1541
0.632,0.632,0.6994,0.1541
0.631,0.631,0.6994,0.1541
0.63,0.63,0.6994,0.1541
0.629,0.629,0.6994,0.1541
0.628,0.628,0.6994,0.1541
0.627,0.627,0.6994,0.1541
0.626,0.626,0.6994,0.1541
0.625,0.625,0.6994,0.1541
0.624,0.624,0.6994,0.1541
0.623,0.623,0.6994,0.1541
0.622,0.622,0.6994,0.1541
0.621,0.621,0.6994,0.1541
0.62,0.62,0.6994,0.1541
0.619,0.619,0.6994,0.1541
0.618,0.618,0.6994,0.1541
0.617,0.617,0.6994,0.1541
0.616,0.616,0.6994,0.1541
0.615,0.615,0.6994,0.1541
0.614,0.614,0.6994,0.1541
0.613,0.613,0.6994,0.1541
0.612,0.612,0.6994,0.1541
0.611,0.611,0.6994,0.1541
0.61,0.61,0.6994,0.1541
0.609,0.609,0.6994,0.1541
0.608,0.608,0.6994,0.1541
0.607,0.607,0.6994,0.1541
0.606,0.606,0.6994,0.1541
0.605,0.605,0.6994,0.1541
0.604,0.604,0.6994,0.1541
0.603,0.603,0.6994,0.1541
0.602,0.602,0.6994,0.1541
0.601,0.601,0.6993,0.1541
0.6,0.6,0.6993,0.1541
0.599,0.599,0.6993,0.1541
0.598,0.598,0.6993,0.1541
0.597,0.597,0.6993,0.1541
0.596,0.596,0.6993,0.1541
0.595,0.595,0.6993,0.1541
0.594,0.594,0.6993,0.1541
0.593,0.593,0.6993,0.1541
0.592,0.592,0.6993,0.1541
0.591,0.591,0.6993,0.1541
0.59,0.59,0.6993,0.1541
0.589,0.589,0.6993,0.1541
0.588,0.588,0.6993,0.1541
0.587,0.587,0.6993,0.1541
0.586,0.586,0.6993,0.1541
0.585,0.585,0.6993,0.1541
0.584,0.584,0.6993,0.1541
0.583,0.583,0.6993,0.1541
0.582,0.582,0.6993,0.1541
0.581,0.581,0.6993,0.1541
0.58,0.58,0.6993,0.1541
0.579,0.579,0.6993,0.1541
0.578,0.578,0.6993,0.1541
0.577,0.577,0.6993,0.1541
0.576,0.576,0.6993,0.1541
0.575,0.575,0.6993,0.1541
0.574,0.574,0.6992,0.1541
0.573,0.573,0.6992,0.1541
0.572,0.572,0.6992,0.1541
0.571,0.571,0.6992,0.1541
