time_s,q_v,qb_v,bl_v,blb_v,wl_v,ivdd_a
0.0,0.7,1.938e-11,0.7,0.7,0.0,-5.268e-10
2e-13,0.7,1.812e-07,0.7,0.7,0.0,-5.76e-10
4e-13,0.7,3.624e-07,0.7,0.7,0.0,-6.253e-10
6e-13,0.7,5.436e-07,0.7,0.7,0.0,-6.746e-10
8e-13,0.7,7.248e-07,0.7,0.7,0.0,-7.239e-10
1e-12,0.7,9.06e-07,0.7,0.7,0.0,-7.732e-10
1.2e-12,0.7,1.045e-06,0.7,0.7,0.0,-8.227e-10
1.4e-12,0.7,1.183e-06,0.7,0.7,0.0,-8.721e-10
1.6e-12,0.7,1.322e-06,0.7,0.7,0.0,-9.216e-10
1.8e-12,0.7,1.461e-06,0.7,0.7,0.0,-9.711e-10
2e-12,0.7,1.599e-06,0.7,0.7,0.0,-1.021e-09
2.2e-12,0.7,1.689e-06,0.7,0.7,0.0,-1.055e-09
2.4e-12,0.7,1.778e-06,0.7,0.7,0.0,-1.089e-09
2.6e-12,0.7,1.868e-06,0.7,0.7,0.0,-1.122e-09
2.8e-12,0.7,1.957e-06,0.7,0.7,0.0,-1.156e-09
3e-12,0.7,2.047e-06,0.7,0.7,0.0,-1.19e-09
3.2e-12,0.7,2.136e-06,0.7,0.7,0.0,-1.224e-09
3.4e-12,0.7,2.225e-06,0.7,0.7,0.0,-1.258e-09
3.6e-12,0.7,2.315e-06,0.7,0.7,0.0,-1.292e-09
3.8e-12,0.7,2.404e-06,0.7,0.7,0.0,-1.326e-09
4e-12,0.7,2.494e-06,0.7,0.7,0.0,-1.36e-09
4.2e-12,0.7,2.583e-06,0.7,0.7,0.0,-1.394e-09
4.4e-12,0.7,2.673e-06,0.7,0.7,0.0,-1.428e-09
4.6e-12,0.7,2.762e-06,0.7,0.7,0.0,-1.462e-09
4.8e-12,0.7,2.852e-06,0.7,0.7,0.0,-1.496e-09
5e-12,0.7,2.941e-06,0.7,0.7,0.0,-1.53e-09
5.2e-12,0.7,3.031e-06,0.7,0.7,0.0,-1.564e-09
5.4e-12,0.7,3.056e-06,0.7,0.7,0.0,-1.575e-09
5.6e-12,0.7,3.081e-06,0.7,0.7,0.0,-1.586e-09
5.8e-12,0.7,3.106e-06,0.7,0.7,0.0,-1.597e-09
6e-12,0.7,3.131e-06,0.7,0.7,0.0,-1.608e-09
6.2e-12,0.7,3.156e-06,0.7,0.7,0.0,-1.618e-09
6.4e-12,0.7,3.181e-06,0.7,0.7,0.0,-1.629e-09
6.6e-12,0.7,3.206e-06,0.7,0.7,0.0,-1.64e-09
6.8e-12,0.7,3.232e-06,0.7,0.7,0.0,-1.651e-09
7e-12,0.7,3.257e-06,0.7,0.7,0.0,-1.662e-09
7.2e-12,0.7,3.282e-06,0.7,0.7,0.0,-1.673e-09
7.4e-12,0.7,3.307e-06,0.7,0.7,0.0,-1.684e-09
7.6e-12,0.7,3.332e-06,0.7,0.7,0.0,-1.694e-09
7.8e-12,0.7,3.357e-06,0.7,0.7,0.0,-1.705e-09
8e-12,0.7,3.382e-06,0.7,0.7,0.0,-1.716e-09
8.2e-12,0.7,3.407e-06,0.7,0.7,0.0,-1.727e-09
8.4e-12,0.7,3.432e-06,0.7,0.7,0.0,-1.738e-09
