noise_v,q_v,qb_v,gq_v,gqb_v
0.0,0.1559,0.6994,0.1559,0.6994
0.001,0.1561,0.6993,0.1571,0.6983
0.002,0.1562,0.6993,0.1582,0.6973
0.003,0.1564,0.6993,0.1594,0.6963
0.004,0.1566,0.6993,0.1606,0.6953
0.005,0.1568,0.6992,0.1618,0.6942
0.006,0.1569,0.6992,0.1629,0.6932
0.007,0.1571,0.6992,0.1641,0.6922
0.008,0.1573,0.6991,0.1653,0.6911
0.009,0.1575,0.6991,0.1665,0.6901
0.01,0.1576,0.6991,0.1676,0.6891
0.011,0.1578,0.699,0.1688,0.688
0.012,0.158,0.699,0.17,0.687
0.013,0.1582,0.6989,0.1712,0.6859
0.014,0.1584,0.6989,0.1724,0.6849
0.015,0.1586,0.6989,0.1736,0.6839
0.016,0.1588,0.6988,0.1748,0.6828
0.017,0.159,0.6988,0.176,0.6818
0.018,0.1591,0.6987,0.1771,0.6807
0.019,0.1593,0.6987,0.1783,0.6797
0.02,0.1595,0.6986,0.1795,0.6786
0.021,0.1597,0.6986,0.1807,0.6776
0.022,0.1599,0.6985,0.1819,0.6765
0.023,0.1601,0.6985,0.1831,0.6755
0.024,0.1603,0.6984,0.1843,0.6744
0.025,0.1605,0.6983,0.1855,0.6733
0.026,0.1607,0.6983,0.1867,0.6723
0.027,0.161,0.6982,0.188,0.6712
0.028,0.1612,0.6981,0.1892,0.6701
0.029,0.1614,0.6981,0.1904,0.6691
0.03,0.1616,0.698,0.1916,0.668
0.031,0.1618,0.6979,0.1928,0.6669
0.032,0.162,0.6978,0.194,0.6658
0.033,0.1622,0.6977,0.1952,0.6647
0.034,0.1625,0.6976,0.1965,0.6636
0.035,0.1627,0.6976,0.1977,0.6626
0.036,0.1629,0.6975,0.1989,0.6615
0.037,0.1632,0.6974,0.2002,0.6604
0.038,0.1634,0.6973,0.2014,0.6593
0.039,0.1636,0.6972,0.2026,0.6582
0.04,0.1639,0.6971,0.2039,0.6571
0.041,0.1641,0.6969,0.2051,0.6559
0.042,0.1643,0.6968,0.2063,0.6548
0.043,0.1646,0.6967,0.2076,0.6537
0.044,0.1648,0.6966,0.2088,0.6526
0.045,0.1651,0.6965,0.2101,0.6515
0.046,0.1653,0.6963,0.2113,0.6503
0.047,0.1656,0.6962,0.2126,0.6492
0.048,0.1659,0.696,0.2139,0.648
0.049,0.1661,0.6959,0.2151,0.6469
0.05,0.1664,0.6957,0.2164,0.6457
0.051,0.1667,0.6956,0.2177,0.6446
0.052,0.1669,0.6954,0.2189,0.6434
0.053,0.1672,0.6952,0.2202,0.6422
0.054,0.1675,0.6951,0.2215,0.6411
0.055,0.1678,0.6949,0.2228,0.6399
0.056,0.1681,0.6947,0.2241,0.6387
0.057,0.1683,0.6945,0.2253,0.6375
0.058,0.1686,0.6943,0.2266,0.6363
0.059,0.1689,0.6941,0.2279,0.6351
0.06,0.1693,0.6939,0.2293,0.6339
0.061,0.1696,0.6936,0.2306,0.6326
0.062,0.1699,0.6934,0.2319,0.6314
0.063,0.1702,0.6931,0.2332,0.6301
0.064,0.1705,0.6929,0.2345,0.6289
0.065,0.1709,0.6926,0.2359,0.6276
0.066,0.1712,0.6924,0.2372,0.6264
0.067,0.1715,0.6921,0.2385,0.6251
0.068,0.1719,0.6918,0.2399,0.6238
0.069,0.1722,0.6915,0.2412,0.6225
0.07,0.1726,0.6912,0.2426,0.6212
0.071,0.173,0.6908,0.244,0.6198
0.072,0.1733,0.6905,0.2453,0.6185
0.073,0.1737,0.6901,0.2467,0.6171
0.074,0.1741,0.6898,0.2481,0.6158
0.075,0.1745,0.6894,0.2495,0.6144
0.076,0.1749,0.689,0.2509,0.613
0.077,0.1753,0.6886,0.2523,0.6116
0.078,0.1758,0.6881,0.2538,0.6101
0.079,0.1762,0.6877,0.2552,0.6087
