time_s,q_v,qb_v,bl_v,blb_v,wl_v,ivdd_a
0.0,0.7,1.938e-11,0.6993,0.7,0.0,-5.268e-10
2e-13,0.7019,0.0002428,0.5722,0.7,0.0,8.867e-07
4e-13,0.7038,0.0004856,0.4451,0.7,0.0,1.774e-06
6e-13,0.7058,0.0007284,0.3179,0.7,0.0,2.661e-06
8e-13,0.7077,0.0009712,0.1908,0.7,0.0,3.548e-06
1e-12,0.7096,0.001214,0.06371,0.7,0.0,4.436e-06
1.2e-12,0.7097,0.001136,0.02733,0.7,0.0,4.419e-06
1.4e-12,0.7094,0.001004,0.006407,0.7,0.0,4.254e-06
1.6e-12,0.7089,0.000849,-1.1e-05,0.7,0.0,4.016e-06
1.8e-12,0.7083,0.0007005,-0.002094,0.7,0.0,3.766e-06
2e-12,0.7077,0.0005552,-0.001977,0.7,0.0,3.509e-06
2.2e-12,0.7072,0.0004255,-0.001486,0.7,0.0,3.267e-06
2.4e-12,0.7067,0.0003082,-0.0007009,0.7,0.0,3.038e-06
2.6e-12,0.7062,0.0002151,-0.0003705,0.7,0.0,2.839e-06
2.8e-12,0.7058,0.0001279,-0.0001524,0.7,0.0,2.648e-06
3e-12,0.7054,4.067e-05,6.569e-05,0.7,0.0,2.457e-06
3.2e-12,0.7051,-1.192e-05,6.698e-05,0.7,0.0,2.312e-06
3.4e-12,0.7048,-6.446e-05,6.788e-05,0.7,0.0,2.168e-06
3.6e-12,0.7044,-0.000117,6.879e-05,0.7,0.0,2.023e-06
3.8e-12,0.7041,-0.0001695,6.97e-05,0.7,0.0,1.878e-06
4e-12,0.7038,-0.0002221,7.06e-05,0.7,0.0,1.734e-06
4.2e-12,0.7036,-0.0002488,6.52e-05,0.7,0.0,1.628e-06
4.4e-12,0.7034,-0.0002669,5.769e-05,0.7,0.0,1.536e-06
4.6e-12,0.7032,-0.000285,5.019e-05,0.7,0.0,1.444e-06
4.8e-12,0.703,-0.0003032,4.269e-05,0.7,0.0,1.352e-06
5e-12,0.7027,-0.0003213,3.518e-05,0.7,0.0,1.259e-06
5.2e-12,0.7025,-0.0003394,2.768e-05,0.7,0.0,1.167e-06
5.4e-12,0.7023,-0.0003576,2.017e-05,0.7,0.0,1.075e-06
5.6e-12,0.7021,-0.0003757,1.267e-05,0.7,0.0,9.827e-07
5.8e-12,0.702,-0.0003898,6.446e-06,0.7,0.0,8.991e-07
6e-12,0.7019,-0.000386,5.85e-06,0.7,0.0,8.536e-07
6.2e-12,0.7018,-0.0003823,5.255e-06,0.7,0.0,8.08e-07
6.4e-12,0.7017,-0.0003786,4.66e-06,0.7,0.0,7.625e-07
6.6e-12,0.7016,-0.0003749,4.064e-06,0.7,0.0,7.169e-07
6.8e-12,0.7015,-0.0003711,3.469e-06,0.7,0.0,6.714e-07
7e-12,0.7014,-0.0003674,2.874e-06,0.7,0.0,6.259e-07
7.2e-12,0.7013,-0.0003637,2.278e-06,0.7,0.0,5.803e-07
7.4e-12,0.7012,-0.00036,1.683e-06,0.7,0.0,5.348e-07
7.6e-12,0.7011,-0.0003562,1.087e-06,0.7,0.0,4.892e-07
7.8e-12,0.701,-0.0003525,4.921e-07,0.7,0.0,4.437e-07
8e-12,0.7009,-0.0003488,-1.032e-07,0.7,0.0,3.982e-07
8.2e-12,0.7008,-0.0003451,-6.986e-07,0.7,0.0,3.526e-07
8.4e-12,0.7007,-0.0003413,-1.294e-06,0.7,0.0,3.071e-07
8.6e-12,0.7006,-0.0003369,-1.782e-06,0.7,0.0,2.668e-07
8.8e-12,0.7005,-0.0003286,-1.727e-06,0.7,0.0,2.531e-07
9e-12,0.7005,-0.0003204,-1.671e-06,0.7,0.0,2.394e-07
9.2e-12,0.7005,-0.0003122,-1.616e-06,0.7,0.0,2.257e-07
9.4e-12,0.7005,-0.0003039,-1.56e-06,0.7,0.0,2.12e-07
9.6e-12,0.7004,-0.0002957,-1.505e-06,0.7,0.0,1.983e-07
9.8e-12,0.7004,-0.0002874,-1.449e-06,0.7,0.0,1.847e-07
1e-11,0.7004,-0.0002792,-1.394e-06,0.7,0.0,1.71e-07
1.02e-11,0.7003,-0.000271,-1.338e-06,0.7,0.0,1.573e-07
1.04e-11,0.7003,-0.0002627,-1.282e-06,0.7,0.0,1.436e-07
1.06e-11,0.7003,-0.0002545,-1.227e-06,0.7,0.0,1.299e-07
1.08e-11,0.7002,-0.0002462,-1.171e-06,0.7,0.0,1.162e-07
1.1e-11,0.7002,-0.000238,-1.116e-06,0.7,0.0,1.025e-07
1.12e-11,0.7002,-0.0002298,-1.06e-06,0.7,0.0,8.886e-08
1.14e-11,0.7002,-0.0002215,-1.005e-06,0.7,0.0,7.517e-08
1.16e-11,0.7001,-0.0002133,-9.492e-07,0.7,0.0,6.148e-08
1.18e-11,0.7001,-0.000205,-8.937e-07,0.7,0.0,4.78e-08
1.2e-11,0.7001,-0.0001968,-8.382e-07,0.7,0.0,3.411e-08
1.22e-11,0.7,-0.0001886,-7.826e-07,0.7,0.0,2.043e-08
1.24e-11,0.7,-0.0001803,-7.271e-07,0.7,0.0,6.741e-09
1.26e-11,0.7,-0.0001721,-6.716e-07,0.7,0.0,-6.945e-09
1.28e-11,0.7,-0.0001638,-6.16e-07,0.7,0.0,-2.063e-08
1.3e-11,0.6999,-0.0001556,-5.605e-07,0.7,0.0,-3.432e-08
1.32e-11,0.6999,-0.0001474,-5.05e-07,0.7,0.0,-4.8e-08
1.34e-11,0.6999,-0.0001391,-4.494e-07,0.7,0.0,-6.169e-08
1.36e-11,0.6998,-0.0001309,-3.939e-07,0.7,0.0,-7.537e-08
1.38e-11,0.6998,-0.0001226,-3.384e-07,0.7,0.0,-8.906e-08
1.4e-11,0.6998,-0.0001144,-2.828e-07,0.7,0.0,-1.027e-07
1.42e-11,0.6998,-0.000108,-2.49e-07,0.7,0.0,-1.101e-07
1.44e-11,0.6998,-0.0001039,-2.406e-07,0.7,0.0,-1.1e-07
1.46e-11,0.6998,-9.973e-05,-2.321e-07,0.7,0.0,-1.099e-07
1.48e-11,0.6998,-9.557e-05,-2.237e-07,0.7,0.0,-1.098e-07
1.5e-11,0.6998,-9.142e-05,-2.152e-07,0.7,0.0,-1.097e-07
1.52e-11,0.6998,-8.727e-05,-2.068e-07,0.7,0.0,-1.095e-07
1.54e-11,0.6998,-8.311e-05,-1.983e-07,0.7,0.0,-1.094e-07
1.56e-11,0.6998,-7.896e-05,-1.899e-07,0.7,0.0,-1.093e-07
1.58e-11,0.6998,-7.48e-05,-1.814e-07,0.7,0.0,-1.092e-07
1.6e-11,0.6998,-7.065e-05,-1.73e-07,0.7,0.0,-1.091e-07
1.62e-11,0.6998,-6.649e-05,-1.645e-07,0.7,0.0,-1.09e-07
1.64e-11,0.6998,-6.234e-05,-1.561e-07,0.7,0.0,-1.089e-07
1.66e-11,0.6998,-5.819e-05,-1.476e-07,0.7,0.0,-1.088e-07
1.68e-11,0.6998,-5.403e-05,-1.392e-07,0.7,0.0,-1.087e-07
1.7e-11,0.6998,-4.988e-05,-1.307e-07,0.7,0.0,-1.086e-07
1.72e-11,0.6998,-4.572e-05,-1.222e-07,0.7,0.0,-1.085e-07
1.74e-11,0.6998,-4.157e-05,-1.138e-07,0.7,0.0,-1.084e-07
1.76e-11,0.6998,-3.741e-05,-1.053e-07,0.7,0.0,-1.083e-07
1.78e-11,0.6998,-3.326e-05,-9.689e-08,0.7,0.0,-1.082e-07
1.8e-11,0.6998,-2.911e-05,-8.843e-08,0.7,0.0,-1.081e-07
1.82e-11,0.6998,-2.495e-05,-7.998e-08,0.7,0.0,-1.08e-07
1.84e-11,0.6998,-2.08e-05,-7.153e-08,0.7,0.0,-1.079e-07
1.86e-11,0.6998,-1.664e-05,-6.308e-08,0.7,0.0,-1.078e-07
1.88e-11,0.6998,-1.249e-05,-5.462e-08,0.7,0.0,-1.077e-07
