NFET_Drain TotalCurrent(n2_des) X,NFET_Drain TotalCurrent(n2_des) Y
0,2.4977003e-10
0.01,3.5587024e-10
0.02,5.0683403e-10
0.03,7.2150692e-10
0.04,1.0265759e-09
0.05,1.4597762e-09
0.06,2.0743684e-09
0.07,2.9453667e-09
0.08,4.1781324e-09
0.09,5.9201402e-09
0.1,8.3768812e-09
0.11,1.1833015e-08
0.12,1.6679879e-08
0.13,2.3450103e-08
0.14,3.2859213e-08
0.15,4.5851802e-08
0.16,6.3647179e-08
0.17,8.7774864e-08
0.18,1.2008586e-07
0.19,1.6271365e-07
0.2,2.1798123e-07
0.21,2.8823354e-07
0.22,3.7571224e-07
0.23,4.8222726e-07
0.24,6.0888714e-07
0.25,7.5588069e-07
0.26,9.2068152e-07
0.27,1.1005777e-06
0.28,1.2942372e-06
0.29,1.5027623e-06
0.3,1.7250534e-06
0.31,1.9608248e-06
0.32,2.2087821e-06
0.33,2.4681299e-06
0.34,2.7377702e-06
0.35,3.0166542e-06
0.36,3.3040688e-06
0.37,3.5992313e-06
0.38,3.9013799e-06
0.39,4.2099418e-06
0.4,4.5243852e-06
0.41,4.8441557e-06
0.42,5.1687533e-06
0.43,5.4978456e-06
0.44,5.8310717e-06
0.45,6.1680399e-06
0.46,6.5084539e-06
0.47,6.852065e-06
0.48,7.1985841e-06
0.49,7.5477841e-06
0.5,7.899427e-06
0.51,8.2533388e-06
0.52,8.609338e-06
0.53,8.9672455e-06
0.54,9.3268795e-06
0.55,9.6880823e-06
0.56,1.0050707e-05
0.57,1.0414603e-05
0.58,1.0779644e-05
0.59,1.1145696e-05
0.6,1.1512628e-05
0.61,1.1880312e-05
0.62,1.2248617e-05
0.63,1.2617412e-05
0.64,1.2986561e-05
0.65,1.3355919e-05
0.66,1.3725331e-05
0.67,1.4094631e-05
0.68,1.4463633e-05
0.69,1.4832128e-05
0.7,1.5199873e-05
0.71,1.5566586e-05
0.72,1.5931932e-05
0.73,1.6295505e-05
0.74,1.6656808e-05
0.75,1.7015235e-05
0.76,1.7370058e-05
0.77,1.7720431e-05
0.78,1.8065425e-05
0.79,1.8404087e-05
0.8,1.8735518e-05
0.81,1.905895e-05
0.82,1.93738e-05
0.83,1.9679716e-05
0.84,1.9976585e-05
0.85,2.0264527e-05
0.86,2.0543828e-05
0.87,2.0814736e-05
0.88,2.1077416e-05
0.89,2.1331683e-05
0.9,2.1576555e-05
0.91,2.1810044e-05
0.92,2.2029256e-05
0.93,2.2231126e-05
0.94,2.2413454e-05
0.95,2.2575233e-05
0.96,2.2718129e-05
0.97,2.2844134e-05
0.98,2.295544e-05
0.99,2.3054147e-05
1,2.3142096e-05

