% sram_standard 6T, 3 CPP x 124 nm. Unit: um.
% x1 y1 x2 y2 layer_num label net
0.0000 0.0000 0.1260 0.1240 1 SRAM_STANDARD_6T BOUNDARY
% Four physical common gates represent six transistors.
0.0140 0.0165 0.0280 0.0455 111 GATE_PG1 P7
0.0560 0.0165 0.0700 0.0455 111 GATE_PD1_PU1 P5
0.0560 0.0785 0.0700 0.1075 111 GATE_PD2_PU2 P2
0.0980 0.0785 0.1120 0.1075 111 GATE_PG2 P7
% NFET S/D: PG1-PD1 share P2; PD2-PG2 share P5.
0.0000 0.0205 0.0090 0.0415 121 SDN_PG1_OUTER P1
0.0330 0.0205 0.0510 0.0415 121 SDN_PG1_PD1_SHARED P2
0.0750 0.0205 0.0840 0.0415 121 SDN_PD1_OUTER P3
0.0420 0.0825 0.0510 0.1035 121 SDN_PD2_OUTER P3
0.0750 0.0825 0.0930 0.1035 121 SDN_PD2_PG2_SHARED P5
0.1170 0.0825 0.1260 0.1035 121 SDN_PG2_OUTER P6
% PFET S/D vertically aligned with PD1 and PD2.
0.0330 0.0205 0.0510 0.0415 122 SDP_PU1_NODE P2
0.0750 0.0205 0.0840 0.0415 122 SDP_PU1_POWER P4
0.0420 0.0825 0.0510 0.1035 122 SDP_PU2_POWER P4
0.0750 0.0825 0.0930 0.1035 122 SDP_PU2_NODE P5
% MD contacts and extensions for upper-tier NFET terminals.
0.0005 0.0205 0.0085 0.0415 16 MD_BL P1
0.0380 0.0205 0.0460 0.0560 16 MD_Q P2
0.0755 0.0000 0.0835 0.0415 16 MD_VSS_BOTTOM P3
0.0425 0.0825 0.0505 0.1240 16 MD_VSS_TOP P3
0.0800 0.0680 0.0880 0.1035 16 MD_QB P5
0.1175 0.0825 0.1255 0.1035 16 MD_BLB P6
% BMD contacts and extensions for lower-tier PFET terminals.
0.0380 0.0205 0.0460 0.0560 51 BMD_Q P2
0.0750 0.0205 0.0830 0.0660 51 BMD_VDD_BOTTOM P4
0.0430 0.0620 0.0510 0.1035 51 BMD_VDD_TOP P4
0.0800 0.0680 0.0880 0.1035 51 BMD_QB P5
% MRW is z-continuous and never split. Q and QB use separate CPP sites.
0.0380 0.0560 0.0460 0.0680 17 MRW_Q P2
0.0800 0.0560 0.0880 0.0680 17 MRW_QB P5
% V0: device/MD/MRW to M0, 8 nm square.
0.0000 0.0210 0.0080 0.0290 18 V0_BL P1
0.0380 0.0580 0.0460 0.0660 18 V0_Q_MRW P2
0.0755 0.0000 0.0835 0.0080 18 V0_VSS_BOTTOM P3
0.0425 0.1160 0.0505 0.1240 18 V0_VSS_TOP P3
0.0800 0.0580 0.0880 0.0660 18 V0_QB_MRW P5
0.1180 0.0950 0.1260 0.1030 18 V0_BLB P6
% Gate V0 contacts.
0.0140 0.0210 0.0220 0.0290 18 V0_GATE_PG1 P7
0.0590 0.0390 0.0670 0.0470 18 V0_GATE_PD1_PU1 P5
0.0590 0.0770 0.0670 0.0850 18 V0_GATE_PD2_PU2 P2
0.1040 0.0950 0.1120 0.1030 18 V0_GATE_PG2 P7
% M0 fixed tracks. Boundary rails are complete even without neighbors.
0.0000 -0.0110 0.1260 0.0110 19 M0_VSS_BOTTOM P3
0.0000 0.0200 0.0090 0.0300 19 M0_BL P1
0.0580 0.0380 0.0700 0.0480 19 M0_GATE_QB P5
0.0360 0.0560 0.0560 0.0680 19 M0_Q_CENTER P2
0.0700 0.0560 0.0900 0.0680 19 M0_QB_CENTER P5
0.1170 0.0940 0.1260 0.1040 19 M0_BLB P6
0.0000 0.1130 0.1260 0.1350 19 M0_VSS_TOP P3
% Additional M0 pads on legal tracks for gate and MRW access.
0.0130 0.0200 0.0260 0.0300 19 M0_WL_LEFT_PAD P7
0.1000 0.0940 0.1130 0.1040 19 M0_WL_RIGHT_PAD P7
0.0560 0.0760 0.0680 0.0860 19 M0_GATE_Q_PAD P2
% V1 and M1 on-demand vertical routing, 14 nm wire width.
0.0170 0.0210 0.0250 0.0290 20 V1_WL_LEFT P7
0.0450 0.0580 0.0530 0.0660 20 V1_Q_MRW P2
0.0590 0.0390 0.0670 0.0470 20 V1_QB_GATE P5
0.0590 0.0770 0.0670 0.0850 20 V1_Q_GATE P2
0.0730 0.0580 0.0810 0.0660 20 V1_QB_MRW P5
0.1010 0.0950 0.1090 0.1030 20 V1_WL_RIGHT P7
0.0140 0.0180 0.0280 0.1190 21 M1_WL_LEFT P7
0.0420 0.0550 0.0560 0.0880 21 M1_Q P2
0.0560 0.0360 0.0700 0.0500 21 M1_GATE_QB P5
0.0560 0.0740 0.0700 0.0880 21 M1_GATE_Q P2
0.0700 0.0360 0.0840 0.0690 21 M1_QB P5
0.0980 0.0920 0.1120 0.1190 21 M1_WL_RIGHT P7
% V2/M2 bridges. Parallel M2 center spacing is at least 24 nm.
0.0450 0.0770 0.0530 0.0850 22 V2_Q_LEFT P2
0.0590 0.0770 0.0670 0.0850 22 V2_Q_RIGHT P2
0.0590 0.0390 0.0670 0.0470 22 V2_QB_LEFT P5
0.0730 0.0390 0.0810 0.0470 22 V2_QB_RIGHT P5
0.0170 0.1080 0.0250 0.1160 22 V2_WL_LEFT P7
0.1010 0.1080 0.1090 0.1160 22 V2_WL_RIGHT P7
0.0420 0.0740 0.0700 0.0880 23 M2_Q P2
0.0560 0.0360 0.0840 0.0500 23 M2_QB P5
0.0140 0.1050 0.1120 0.1190 23 M2_WL P7
% BMD to central BM0 VDD rail through 8 nm BV0.
0.0750 0.0580 0.0830 0.0660 52 BV0_VDD_BOTTOM P4
0.0430 0.0580 0.0510 0.0660 52 BV0_VDD_TOP P4
% BM0 fixed tracks. Central rail joins both PFET sources.
0.0000 -0.0080 0.1260 0.0080 53 BM0_BOUNDARY_BOTTOM spare
0.0000 0.0230 0.1260 0.0390 53 BM0_SIGNAL_BOTTOM spare
0.0000 0.0540 0.1260 0.0700 53 BM0_VDD P4
0.0000 0.0850 0.1260 0.1010 53 BM0_SIGNAL_TOP spare
0.0000 0.1160 0.1260 0.1320 53 BM0_BOUNDARY_TOP spare
