% STANDARD_SRAM_V1_3. Unit: um.
% x1 y1 x2 y2 layer_num label
-2.6370 -3.8670 -2.6370 -3.8670 1 None
-3.5480 -4.2930 -3.5480 -4.2930 1 None
0.0420 0.0000 0.0840 0.0720 1 None
0.0840 0.0000 0.1260 0.0720 1 None
0.1510 -0.0130 0.1510 -0.0130 1 None
0.1260 0.0000 0.1680 0.0720 1 None
0.0000 0.0000 0.0420 0.0720 1 None
0.0420 0.0720 0.0840 0.1440 1 None
0.0840 0.0720 0.1260 0.1440 1 None
0.1510 0.1570 0.1510 0.1570 1 None
0.1260 0.0720 0.1680 0.1440 1 None
0.0000 0.0720 0.0420 0.1440 1 None
0.0150 0.0110 0.0270 0.0510 7 None
0.0570 0.0110 0.0690 0.0510 7 None
0.1410 0.0110 0.1530 0.0510 7 None
0.0990 0.0110 0.1110 0.0510 7 None
0.0150 0.0930 0.0270 0.1330 7 None
0.0570 0.0930 0.0690 0.1330 7 None
0.1410 0.0930 0.1530 0.1330 7 None
0.0990 0.0930 0.1110 0.1330 7 None
-0.0060 0.0110 0.0060 0.0510 16 None
0.0360 0.0110 0.0480 0.0680 16 None
0.0780 -0.0060 0.0900 0.0510 16 None
0.1200 0.0110 0.1320 0.0680 16 None
0.1620 0.0110 0.1740 0.0510 16 None
0.0990 0.0110 0.1110 0.0680 16 None
0.0570 0.0110 0.0690 0.0680 16 None
-0.0060 0.0930 0.0060 0.1330 16 None
0.0360 0.0760 0.0480 0.1330 16 None
0.0780 0.0930 0.0900 0.1500 16 None
0.1200 0.0760 0.1320 0.1330 16 None
0.1620 0.0930 0.1740 0.1330 16 None
0.0990 0.0760 0.1110 0.1330 16 None
0.0570 0.0760 0.0690 0.1330 16 None
0.0360 0.0560 0.0480 0.0680 17 Q_1
0.0990 0.0560 0.1110 0.0680 17 QB_1
0.0570 0.0560 0.0690 0.0680 17 None
0.1200 0.0560 0.1320 0.0680 17 Q_2
0.0360 0.0760 0.0480 0.0880 17 None
0.0990 0.0760 0.1110 0.0880 17 None
0.0570 0.0760 0.0690 0.0880 17 None
0.1200 0.0760 0.1320 0.0880 17 None
0.1420 0.0200 0.1520 0.0300 18 None
0.0160 0.0200 0.0260 0.0300 18 None
0.0370 0.0570 0.0470 0.0670 18 None
0.1000 0.0570 0.1100 0.0670 18 None
0.0580 0.0380 0.0680 0.0480 18 None
0.1210 0.0380 0.1310 0.0480 18 None
0.0790 -0.0050 0.0890 0.0050 18 None
-0.0050 0.0380 0.0050 0.0480 18 None
0.1630 0.0380 0.1730 0.0480 18 None
0.1420 0.1140 0.1520 0.1240 18 None
0.0160 0.1140 0.0260 0.1240 18 None
0.0370 0.0770 0.0470 0.0870 18 None
0.1000 0.0770 0.1100 0.0870 18 None
0.0580 0.0960 0.0680 0.1060 18 None
0.1210 0.0960 0.1310 0.1060 18 None
0.0790 0.1390 0.0890 0.1490 18 None
-0.0050 0.0960 0.0050 0.1060 18 None
0.1630 0.0960 0.1730 0.1060 18 None
0.0150 0.0200 0.1530 0.0300 19 WL_1
0.0360 0.0570 0.1110 0.0670 19 None
0.0570 0.0370 0.1320 0.0490 19 None
0.0000 -0.0110 0.1620 0.0110 19 VSS_1
0.1510 0.0370 0.1740 0.0490 19 BLB_1
-0.0060 0.0370 0.0160 0.0490 19 BL_1
0.0150 0.1140 0.1530 0.1240 19 WLB_1
0.0360 0.0770 0.1110 0.0870 19 None
0.0570 0.0950 0.1320 0.1070 19 None
0.0000 0.1330 0.1620 0.1550 19 None
0.1510 0.0950 0.1740 0.1070 19 None
-0.0060 0.0950 0.0160 0.1070 19 None
0.0360 0.0110 0.0480 0.0680 51 None
0.0570 0.0110 0.0690 0.0680 51 None
0.0990 0.0110 0.1110 0.0680 51 None
0.1200 0.0110 0.1320 0.0680 51 None
0.0780 -0.0060 0.0900 0.0510 51 None
0.0360 0.0760 0.0480 0.1330 51 None
0.0570 0.0760 0.0690 0.1330 51 None
0.0990 0.0760 0.1110 0.1330 51 None
0.1200 0.0760 0.1320 0.1330 51 None
0.0780 0.0930 0.0900 0.1500 51 None
0.0790 -0.0050 0.0890 0.0050 52 None
0.0790 0.1390 0.0890 0.1490 52 None
0.0000 -0.0110 0.1620 0.0110 53 VDD_1
0.0000 0.1330 0.1620 0.1550 53 VDD_2
