% STANDARD_SRAM_V1_10. Unit: um.
% x1 y1 x2 y2 layer_num label
-2.6370 -3.8670 -2.6370 -3.8670 1 None
-3.5480 -4.2930 -3.5480 -4.2930 1 None
0.0420 0.0000 0.0840 0.0620 1 None
0.0840 0.0000 0.1260 0.0620 1 None
0.1510 -0.0130 0.1510 -0.0130 1 None
0.1260 0.0000 0.1680 0.0620 1 None
0.0000 0.0000 0.0420 0.0620 1 None
0.0840 0.0620 0.1260 0.1240 1 None
0.0420 0.0620 0.0840 0.1240 1 None
0.0170 0.1370 0.0170 0.1370 1 None
0.0000 0.0620 0.0420 0.1240 1 None
0.1260 0.0620 0.1680 0.1240 1 None
0.2100 0.0000 0.2520 0.0620 1 None
0.2520 0.0000 0.2940 0.0620 1 None
0.3190 -0.0130 0.3190 -0.0130 1 None
0.2940 0.0000 0.3360 0.0620 1 None
0.1680 0.0000 0.2100 0.0620 1 None
0.2940 0.0620 0.3360 0.1240 1 None
0.1680 0.0620 0.2100 0.1240 1 None
0.1850 0.1370 0.1850 0.1370 1 None
0.2100 0.0620 0.2520 0.1240 1 None
0.2520 0.0620 0.2940 0.1240 1 None
0.0150 0.0110 0.0270 0.0510 7 None
0.0570 0.0110 0.0690 0.0510 7 None
0.1410 0.0110 0.1530 0.0510 7 None
0.0990 0.0110 0.1110 0.0510 7 None
0.1410 0.0730 0.1530 0.1130 7 None
0.0990 0.0730 0.1110 0.1130 7 None
0.0150 0.0730 0.0270 0.1130 7 None
0.0570 0.0730 0.0690 0.1130 7 None
0.1830 0.0110 0.1950 0.0510 7 None
0.2250 0.0110 0.2370 0.0510 7 None
0.3090 0.0110 0.3210 0.0510 7 None
0.2670 0.0110 0.2790 0.0510 7 None
0.2250 0.0730 0.2370 0.1130 7 None
0.1830 0.0730 0.1950 0.1130 7 None
0.2670 0.0730 0.2790 0.1130 7 None
0.3090 0.0730 0.3210 0.1130 7 None
-0.0060 0.0110 0.0060 0.0510 16 None
0.0360 0.0110 0.0480 0.0680 16 None
0.0780 -0.0060 0.0900 0.0510 16 None
0.1200 0.0110 0.1320 0.0510 16 None
0.1620 0.0110 0.1740 0.0510 16 None
0.0990 0.0110 0.1110 0.0510 16 None
0.0570 0.0110 0.0690 0.0680 16 None
0.0150 0.0110 0.0270 0.0680 16 None
0.1620 0.0730 0.1740 0.1130 16 None
0.1200 0.0560 0.1320 0.1130 16 None
0.0780 0.0730 0.0900 0.1300 16 None
0.0360 0.0730 0.0480 0.1130 16 None
-0.0060 0.0730 0.0060 0.1130 16 None
0.0570 0.0730 0.0690 0.1130 16 None
0.0990 0.0560 0.1110 0.1130 16 None
0.1410 0.0560 0.1530 0.1130 16 None
0.0150 0.0560 0.0270 0.1130 16 None
0.1830 0.0560 0.1950 0.1130 16 None
0.2040 0.0110 0.2160 0.0680 16 None
0.2460 -0.0060 0.2580 0.0510 16 None
0.2880 0.0110 0.3000 0.0510 16 None
0.3300 0.0110 0.3420 0.0510 16 None
0.2670 0.0110 0.2790 0.0510 16 None
0.2250 0.0110 0.2370 0.0680 16 None
0.1830 0.0110 0.1950 0.0680 16 None
0.3090 0.0110 0.3210 0.0680 16 None
0.3090 0.0560 0.3210 0.1130 16 None
0.2670 0.0560 0.2790 0.1130 16 None
0.2250 0.0730 0.2370 0.1130 16 None
0.2040 0.0730 0.2160 0.1130 16 None
0.2460 0.0730 0.2580 0.1300 16 None
0.2880 0.0560 0.3000 0.1130 16 None
0.3300 0.0730 0.3420 0.1130 16 None
0.1410 0.0110 0.1530 0.0680 16 None
0.0360 0.0560 0.0480 0.0680 17 None
0.1200 0.0560 0.1320 0.0680 17 None
0.0570 0.0560 0.0690 0.0680 17 None
0.0990 0.0560 0.1110 0.0680 17 None
0.2040 0.0560 0.2160 0.0680 17 None
0.2250 0.0560 0.2370 0.0680 17 None
0.2670 0.0560 0.2790 0.0680 17 None
0.2880 0.0560 0.3000 0.0680 17 None
0.0580 0.0380 0.0680 0.0480 18 None
0.1210 0.0380 0.1310 0.0480 18 None
0.0790 -0.0050 0.0890 0.0050 18 None
-0.0050 0.0380 0.0050 0.0480 18 None
0.1630 0.0380 0.1730 0.0480 18 None
0.1410 0.0560 0.1530 0.0680 18 None
0.0150 0.0560 0.0270 0.0680 18 None
0.0370 0.0200 0.0470 0.0300 18 None
0.1000 0.0200 0.1100 0.0300 18 None
0.1000 0.0760 0.1100 0.0860 18 None
0.0370 0.0760 0.0470 0.0860 18 None
0.0790 0.1190 0.0890 0.1290 18 None
0.1630 0.0760 0.1730 0.0860 18 None
-0.0050 0.0760 0.0050 0.0860 18 None
0.2260 0.0940 0.2360 0.1040 18 None
0.2890 0.0940 0.2990 0.1040 18 None
0.1210 0.0940 0.1310 0.1040 18 None
0.0580 0.0940 0.0680 0.1040 18 None
0.2260 0.0380 0.2360 0.0480 18 None
0.2890 0.0380 0.2990 0.0480 18 None
0.2470 -0.0050 0.2570 0.0050 18 None
0.3310 0.0760 0.3410 0.0860 18 None
0.3310 0.0380 0.3410 0.0480 18 None
0.3090 0.0560 0.3210 0.0680 18 None
0.1830 0.0560 0.1950 0.0680 18 None
0.2050 0.0200 0.2150 0.0300 18 None
0.2680 0.0200 0.2780 0.0300 18 None
0.2470 0.1190 0.2570 0.1290 18 None
0.2050 0.0760 0.2150 0.0860 18 None
0.2680 0.0760 0.2780 0.0860 18 None
0.0150 0.0560 0.1530 0.0680 19 WL
0.0360 0.0200 0.1110 0.0300 19 None
0.0570 0.0370 0.1320 0.0490 19 None
0.1570 0.0370 0.1800 0.0490 19 BLB
-0.0060 0.0370 0.0160 0.0490 19 BL
0.0000 -0.0110 0.1680 0.0110 19 VSS
0.1680 0.1130 0.3360 0.1350 19 None
0.0570 0.0940 0.1320 0.1040 19 None
0.0360 0.0750 0.1110 0.0870 19 None
-0.0060 0.0750 0.0170 0.0870 19 None
0.1570 0.0750 0.1790 0.0870 19 None
0.0000 0.1130 0.1680 0.1350 19 None
0.1830 0.0560 0.3210 0.0680 19 None
0.2040 0.0200 0.2790 0.0300 19 None
0.2250 0.0370 0.3000 0.0490 19 None
0.3190 0.0370 0.3420 0.0490 19 None
0.3200 0.0750 0.3420 0.0870 19 None
0.1680 -0.0110 0.3360 0.0110 19 None
0.2040 0.0750 0.2790 0.0870 19 None
0.2250 0.0940 0.3000 0.1040 19 None
0.0790 -0.0050 0.0890 0.0050 52 None
0.0580 0.0380 0.0680 0.0480 52 None
0.1210 0.0380 0.1310 0.0480 52 None
0.0370 0.0200 0.0470 0.0300 52 None
0.1000 0.0200 0.1100 0.0300 52 None
0.0790 0.1190 0.0890 0.1290 52 None
0.1000 0.0760 0.1100 0.0860 52 None
0.0370 0.0760 0.0470 0.0860 52 None
0.1210 0.0940 0.1310 0.1040 52 None
0.0580 0.0940 0.0680 0.1040 52 None
0.2470 -0.0050 0.2570 0.0050 52 None
0.2260 0.0380 0.2360 0.0480 52 None
0.2890 0.0380 0.2990 0.0480 52 None
0.2050 0.0200 0.2150 0.0300 52 None
0.2680 0.0200 0.2780 0.0300 52 None
0.2260 0.0940 0.2360 0.1040 52 None
0.2890 0.0940 0.2990 0.1040 52 None
0.2050 0.0760 0.2150 0.0860 52 None
0.2680 0.0760 0.2780 0.0860 52 None
0.2470 0.1190 0.2570 0.1290 52 None
0.0570 0.0370 0.1320 0.0490 53 None
0.0000 -0.0110 0.1680 0.0110 53 VDD
0.0360 0.0190 0.1110 0.0310 53 None
0.0360 0.0750 0.1110 0.0870 53 None
0.0000 0.1130 0.1680 0.1350 53 None
0.0570 0.0930 0.1320 0.1050 53 None
0.2250 0.0370 0.3000 0.0490 53 None
0.1680 -0.0110 0.3360 0.0110 53 None
0.2040 0.0190 0.2790 0.0310 53 None
0.2250 0.0930 0.3000 0.1050 53 None
0.1680 0.1130 0.3360 0.1350 53 None
0.2040 0.0750 0.2790 0.0870 53 None
0.0360 0.0110 0.0480 0.0680 51 None
0.0780 -0.0060 0.0900 0.0510 51 None
0.1200 0.0110 0.1320 0.0510 51 None
0.0990 0.0110 0.1110 0.0510 51 None
0.0570 0.0110 0.0690 0.0680 51 None
0.1200 0.0560 0.1320 0.1130 51 None
0.0780 0.0730 0.0900 0.1300 51 None
0.0360 0.0730 0.0480 0.1130 51 None
0.0570 0.0730 0.0690 0.1130 51 None
0.0990 0.0560 0.1110 0.1130 51 None
0.2040 0.0110 0.2160 0.0680 51 None
0.2460 -0.0060 0.2580 0.0510 51 None
0.2880 0.0110 0.3000 0.0510 51 None
0.2670 0.0110 0.2790 0.0510 51 None
0.2250 0.0110 0.2370 0.0680 51 None
0.2670 0.0560 0.2790 0.1130 51 None
0.2250 0.0730 0.2370 0.1130 51 None
0.2040 0.0730 0.2160 0.1130 51 None
0.2460 0.0730 0.2580 0.1300 51 None
0.2880 0.0560 0.3000 0.1130 51 None
